agency_cd,site_no,parameter_cd,ts_id,year_nu,month_nu,mean_va
USGS,15565447,60,1155,1975,10,313700
USGS,15565447,60,1155,1975,11,168700
USGS,15565447,60,1155,1975,12,92840
USGS,15565447,60,1155,1976,1,67870
USGS,15565447,60,1155,1976,2,54760
USGS,15565447,60,1155,1976,3,45710
USGS,15565447,60,1155,1976,4,38430
USGS,15565447,60,1155,1976,5,285900
USGS,15565447,60,1155,1976,6,537600
USGS,15565447,60,1155,1976,7,408300
USGS,15565447,60,1155,1976,8,346100
USGS,15565447,60,1155,1976,9,252700
USGS,15565447,60,1155,1976,10,184500
USGS,15565447,60,1155,1976,11,92830
USGS,15565447,60,1155,1976,12,71290
USGS,15565447,60,1155,1977,1,60160
USGS,15565447,60,1155,1977,2,51960
USGS,15565447,60,1155,1977,3,48840
USGS,15565447,60,1155,1977,4,45270
USGS,15565447,60,1155,1977,5,190100
USGS,15565447,60,1155,1977,6,630900
USGS,15565447,60,1155,1977,7,472500
USGS,15565447,60,1155,1977,8,316600
USGS,15565447,60,1155,1977,9,276800
USGS,15565447,60,1155,1977,10,234700
USGS,15565447,60,1155,1977,11,136400
USGS,15565447,60,1155,1977,12,85350
USGS,15565447,60,1155,1978,1,61680
USGS,15565447,60,1155,1978,2,51660
USGS,15565447,60,1155,1978,3,47870
USGS,15565447,60,1155,1978,4,43750
USGS,15565447,60,1155,1978,5,148600
USGS,15565447,60,1155,1978,6,364400
USGS,15565447,60,1155,1978,7,425800
USGS,15565447,60,1155,1978,8,330000
USGS,15565447,60,1155,1978,9,283700
USGS,15565447,60,1155,1978,10,170600
USGS,15565447,60,1155,1978,11,98530
USGS,15565447,60,1155,1978,12,69350
USGS,15565447,60,1155,1979,1,60650
USGS,15565447,60,1155,1979,2,55890
USGS,15565447,60,1155,1979,3,50970
USGS,15565447,60,1155,1979,4,42170
USGS,15565447,60,1155,1979,5,365500
USGS,15565447,60,1155,1979,6,531200
USGS,15565447,60,1155,1979,7,468000
USGS,15565447,60,1155,1979,8,439300
USGS,15565447,60,1155,1979,9,325500
USGS,15565447,60,1155,1979,10,233200
USGS,15565447,60,1155,1979,11,122700
USGS,15565447,60,1155,1979,12,78550
USGS,15565447,60,1155,1980,1,67580
USGS,15565447,60,1155,1980,2,60860
USGS,15565447,60,1155,1980,3,56770
USGS,15565447,60,1155,1980,4,50970
USGS,15565447,60,1155,1980,5,357300
USGS,15565447,60,1155,1980,6,584400
USGS,15565447,60,1155,1980,7,457800
USGS,15565447,60,1155,1980,8,407000
USGS,15565447,60,1155,1980,9,359900
USGS,15565447,60,1155,1980,10,261800
USGS,15565447,60,1155,1980,11,141900
USGS,15565447,60,1155,1980,12,80970
USGS,15565447,60,1155,1981,1,64350
USGS,15565447,60,1155,1981,2,56250
USGS,15565447,60,1155,1981,3,47580
USGS,15565447,60,1155,1981,4,42000
USGS,15565447,60,1155,1981,5,327700
USGS,15565447,60,1155,1981,6,472900
USGS,15565447,60,1155,1981,7,389200
USGS,15565447,60,1155,1981,8,515800
USGS,15565447,60,1155,1981,9,340900
USGS,15565447,60,1155,1981,10,221600
USGS,15565447,60,1155,1981,11,122300
USGS,15565447,60,1155,1981,12,89030
USGS,15565447,60,1155,1982,1,72100
USGS,15565447,60,1155,1982,2,58930
USGS,15565447,60,1155,1982,3,47580
USGS,15565447,60,1155,1982,4,39000
USGS,15565447,60,1155,1982,5,204400
USGS,15565447,60,1155,1982,6,688900
USGS,15565447,60,1155,1982,7,529700
USGS,15565447,60,1155,1982,8,448600
USGS,15565447,60,1155,1982,9,358200
USGS,15565447,60,1155,1982,10,324600
USGS,15565447,60,1155,1982,11,149200
USGS,15565447,60,1155,1982,12,86290
USGS,15565447,60,1155,1983,1,62420
USGS,15565447,60,1155,1983,2,50680
USGS,15565447,60,1155,1983,3,47870
USGS,15565447,60,1155,1983,4,46600
USGS,15565447,60,1155,1983,5,214000
USGS,15565447,60,1155,1983,6,479700
USGS,15565447,60,1155,1983,7,393800
USGS,15565447,60,1155,1983,8,381300
USGS,15565447,60,1155,1983,9,379900
USGS,15565447,60,1155,1983,10,276700
USGS,15565447,60,1155,1983,11,154100
USGS,15565447,60,1155,1983,12,87420
USGS,15565447,60,1155,1984,1,56130
USGS,15565447,60,1155,1984,2,38380
USGS,15565447,60,1155,1984,3,35160
USGS,15565447,60,1155,1984,4,41870
USGS,15565447,60,1155,1984,5,335300
USGS,15565447,60,1155,1984,6,522100
USGS,15565447,60,1155,1984,7,435500
USGS,15565447,60,1155,1984,8,457400
USGS,15565447,60,1155,1984,9,334100
USGS,15565447,60,1155,1984,10,187500
USGS,15565447,60,1155,1984,11,105000
USGS,15565447,60,1155,1984,12,62900
USGS,15565447,60,1155,1985,1,52420
USGS,15565447,60,1155,1985,2,48570
USGS,15565447,60,1155,1985,3,44030
USGS,15565447,60,1155,1985,4,40000
USGS,15565447,60,1155,1985,5,100200
USGS,15565447,60,1155,1985,6,844600
USGS,15565447,60,1155,1985,7,549200
USGS,15565447,60,1155,1985,8,393300
USGS,15565447,60,1155,1985,9,440000
USGS,15565447,60,1155,1985,10,321000
USGS,15565447,60,1155,1985,11,143300
USGS,15565447,60,1155,1985,12,94840
USGS,15565447,60,1155,1986,1,76000
USGS,15565447,60,1155,1986,2,65000
USGS,15565447,60,1155,1986,3,55000
USGS,15565447,60,1155,1986,4,50000
USGS,15565447,60,1155,1986,5,157800
USGS,15565447,60,1155,1986,6,500500
USGS,15565447,60,1155,1986,7,460600
USGS,15565447,60,1155,1986,8,415300
USGS,15565447,60,1155,1986,9,427300
USGS,15565447,60,1155,1986,10,315100
USGS,15565447,60,1155,1986,11,188800
USGS,15565447,60,1155,1986,12,86030
USGS,15565447,60,1155,1987,1,70000
USGS,15565447,60,1155,1987,2,60000
USGS,15565447,60,1155,1987,3,52000
USGS,15565447,60,1155,1987,4,47830
USGS,15565447,60,1155,1987,5,141200
USGS,15565447,60,1155,1987,6,580800
USGS,15565447,60,1155,1987,7,425900
USGS,15565447,60,1155,1987,8,386000
USGS,15565447,60,1155,1987,9,324000
USGS,15565447,60,1155,1987,10,247700
USGS,15565447,60,1155,1987,11,94430
USGS,15565447,60,1155,1987,12,50000
USGS,15565447,60,1155,1988,1,50000
USGS,15565447,60,1155,1988,2,50000
USGS,15565447,60,1155,1988,3,50000
USGS,15565447,60,1155,1988,4,51670
USGS,15565447,60,1155,1988,5,216900
USGS,15565447,60,1155,1988,6,568800
USGS,15565447,60,1155,1988,7,440500
USGS,15565447,60,1155,1988,8,426000
USGS,15565447,60,1155,1988,9,374700
USGS,15565447,60,1155,1988,10,213500
USGS,15565447,60,1155,1988,11,72500
USGS,15565447,60,1155,1988,12,55000
USGS,15565447,60,1155,1989,1,55000
USGS,15565447,60,1155,1989,2,55000
USGS,15565447,60,1155,1989,3,55000
USGS,15565447,60,1155,1989,4,55000
USGS,15565447,60,1155,1989,5,236900
USGS,15565447,60,1155,1989,6,669500
USGS,15565447,60,1155,1989,7,480900
USGS,15565447,60,1155,1989,8,388500
USGS,15565447,60,1155,1989,9,361400
USGS,15565447,60,1155,1989,10,239200
USGS,15565447,60,1155,1989,11,87130
USGS,15565447,60,1155,1989,12,57420
USGS,15565447,60,1155,1990,1,50320
USGS,15565447,60,1155,1990,2,47360
USGS,15565447,60,1155,1990,3,47000
USGS,15565447,60,1155,1990,4,47470
USGS,15565447,60,1155,1990,5,458100
USGS,15565447,60,1155,1990,6,618700
USGS,15565447,60,1155,1990,7,425200
USGS,15565447,60,1155,1990,8,315000
USGS,15565447,60,1155,1990,9,420700
USGS,15565447,60,1155,1990,10,335900
USGS,15565447,60,1155,1990,11,110500
USGS,15565447,60,1155,1990,12,67580
USGS,15565447,60,1155,1991,1,60000
USGS,15565447,60,1155,1991,2,52680
USGS,15565447,60,1155,1991,3,50000
USGS,15565447,60,1155,1991,4,51670
USGS,15565447,60,1155,1991,5,501700
USGS,15565447,60,1155,1991,6,619000
USGS,15565447,60,1155,1991,7,454800
USGS,15565447,60,1155,1991,8,372900
USGS,15565447,60,1155,1991,9,304400
USGS,15565447,60,1155,1991,10,216100
USGS,15565447,60,1155,1991,11,155700
USGS,15565447,60,1155,1991,12,91130
USGS,15565447,60,1155,1992,1,72740
USGS,15565447,60,1155,1992,2,51380
USGS,15565447,60,1155,1992,3,47030
USGS,15565447,60,1155,1992,4,47770
USGS,15565447,60,1155,1992,5,164800
USGS,15565447,60,1155,1992,6,665300
USGS,15565447,60,1155,1992,7,563500
USGS,15565447,60,1155,1992,8,435800
USGS,15565447,60,1155,1992,9,359000
USGS,15565447,60,1155,1992,10,190100
USGS,15565447,60,1155,1992,11,106700
USGS,15565447,60,1155,1992,12,69350
USGS,15565447,60,1155,1993,1,57420
USGS,15565447,60,1155,1993,2,55000
USGS,15565447,60,1155,1993,3,50320
USGS,15565447,60,1155,1993,4,52170
USGS,15565447,60,1155,1993,5,262900
USGS,15565447,60,1155,1993,6,745500
USGS,15565447,60,1155,1993,7,476100
USGS,15565447,60,1155,1993,8,395700
USGS,15565447,60,1155,1993,9,417300
USGS,15565447,60,1155,1993,10,287100
USGS,15565447,60,1155,1993,11,159700
USGS,15565447,60,1155,1993,12,91610
USGS,15565447,60,1155,1994,1,73230
USGS,15565447,60,1155,1994,2,65360
USGS,15565447,60,1155,1994,3,52900
USGS,15565447,60,1155,1994,4,52500
USGS,15565447,60,1155,1994,5,259700
USGS,15565447,60,1155,1994,6,558000
USGS,15565447,60,1155,1994,7,530300
USGS,15565447,60,1155,1994,8,422200
USGS,15565447,60,1155,1994,9,481300
USGS,15565447,60,1155,1994,10,240600
USGS,15565447,60,1155,1994,11,102300
USGS,15565447,60,1155,1994,12,72900
USGS,15565447,60,1155,1995,1,61130
USGS,15565447,60,1155,1995,2,53570
USGS,15565447,60,1155,1995,3,48000
USGS,15565447,60,1155,1995,4,44870
USGS,15565447,60,1155,1995,5,421400
USGS,15565447,60,1155,1995,6,439200
USGS,15565447,60,1155,1995,7,378200
USGS,15565447,60,1155,1995,8,357800
USGS,15565447,60,1155,1995,9,387100
USGS,15565447,60,1155,1995,10,326200
USGS,15565447,60,1155,1995,11,180700
USGS,15565447,60,1155,1995,12,68770
USGS,15565447,60,1155,1996,1,50390
USGS,15565447,60,1155,1996,2,40240
USGS,15565447,60,1155,1996,3,37290
USGS,15565447,60,1155,1996,4,42970
USGS,15565447,60,1155,1996,5,315900
USGS,15565447,60,1155,1996,6,443800
USGS,15565447,60,1155,1996,7,314000
USGS,15565447,60,1155,1996,8,365600
USGS,15565447,60,1155,1996,9,324200
USGS,15565447,60,1155,2001,4,47530
USGS,15565447,60,1155,2001,5,204500
USGS,15565447,60,1155,2001,6,796400
USGS,15565447,60,1155,2001,7,537100
USGS,15565447,60,1155,2001,8,440900
USGS,15565447,60,1155,2001,9,373300
USGS,15565447,60,1155,2001,10,201300
USGS,15565447,60,1155,2001,11,96170
USGS,15565447,60,1155,2001,12,60650
USGS,15565447,60,1155,2002,1,51520
USGS,15565447,60,1155,2002,2,45790
USGS,15565447,60,1155,2002,3,40770
USGS,15565447,60,1155,2002,4,39030
USGS,15565447,60,1155,2002,5,399100
USGS,15565447,60,1155,2002,6,544000
USGS,15565447,60,1155,2002,7,344000
USGS,15565447,60,1155,2002,8,315200
USGS,15565447,60,1155,2002,9,377900
USGS,15565447,60,1155,2002,10,294600
USGS,15565447,60,1155,2002,11,211800
USGS,15565447,60,1155,2002,12,83870
USGS,15565447,60,1155,2003,1,64520
USGS,15565447,60,1155,2003,2,55790
USGS,15565447,60,1155,2003,3,50680
USGS,15565447,60,1155,2003,4,48430
USGS,15565447,60,1155,2003,5,335200
USGS,15565447,60,1155,2003,6,482600
USGS,15565447,60,1155,2003,7,389000
USGS,15565447,60,1155,2003,8,390600
USGS,15565447,60,1155,2003,9,420300
USGS,15565447,60,1155,2003,10,231800
USGS,15565447,60,1155,2003,11,107400
USGS,15565447,60,1155,2003,12,72760
USGS,15565447,60,1155,2004,1,59020
USGS,15565447,60,1155,2004,2,51220
USGS,15565447,60,1155,2004,3,47470
USGS,15565447,60,1155,2004,4,49020
USGS,15565447,60,1155,2004,5,399000
USGS,15565447,60,1155,2004,6,600400
USGS,15565447,60,1155,2004,7,378600
USGS,15565447,60,1155,2004,8,312500
USGS,15565447,60,1155,2004,9,226700
USGS,15565447,60,1155,2004,10,150600
USGS,15565447,60,1155,2004,11,107700
USGS,15565447,60,1155,2004,12,62000
USGS,15565447,60,1155,2005,1,48470
USGS,15565447,60,1155,2005,2,42950
USGS,15565447,60,1155,2005,3,41480
USGS,15565447,60,1155,2005,4,58970
USGS,15565447,60,1155,2005,5,784400
USGS,15565447,60,1155,2005,6,656900
USGS,15565447,60,1155,2005,7,424500
USGS,15565447,60,1155,2005,8,332300
USGS,15565447,60,1155,2005,9,328800
USGS,15565447,60,1155,2005,10,344900
USGS,15565447,60,1155,2005,11,154100
USGS,15565447,60,1155,2005,12,87740
USGS,15565447,60,1155,2006,1,71450
USGS,15565447,60,1155,2006,2,53390
USGS,15565447,60,1155,2006,3,48550
USGS,15565447,60,1155,2006,4,45900
USGS,15565447,60,1155,2006,5,352000
USGS,15565447,60,1155,2006,6,570100
USGS,15565447,60,1155,2006,7,498100
USGS,15565447,60,1155,2006,8,390100
USGS,15565447,60,1155,2006,9,397600
USGS,15565447,60,1155,2006,10,300200
USGS,15565447,60,1155,2006,11,152400
USGS,15565447,60,1155,2006,12,60520
USGS,15565447,60,1155,2007,1,47000
USGS,15565447,60,1155,2007,2,42570
USGS,15565447,60,1155,2007,3,39400
USGS,15565447,60,1155,2007,4,44030
USGS,15565447,60,1155,2007,5,339800
USGS,15565447,60,1155,2007,6,401000
USGS,15565447,60,1155,2007,7,366400
USGS,15565447,60,1155,2007,8,411500
USGS,15565447,60,1155,2007,9,344200
USGS,15565447,60,1155,2007,10,282700
USGS,15565447,60,1155,2007,11,143200
USGS,15565447,60,1155,2007,12,81580
USGS,15565447,60,1155,2008,1,63290
USGS,15565447,60,1155,2008,2,51810
USGS,15565447,60,1155,2008,3,43670
USGS,15565447,60,1155,2008,4,40880
USGS,15565447,60,1155,2008,5,367700
USGS,15565447,60,1155,2008,6,509000
USGS,15565447,60,1155,2008,7,408000
USGS,15565447,60,1155,2008,8,444500
USGS,15565447,60,1155,2008,9,334200
USGS,15565447,60,1155,2008,10,241000
USGS,15565447,60,1155,2008,11,124100
USGS,15565447,60,1155,2008,12,83000
USGS,15565447,60,1155,2009,1,70420
USGS,15565447,60,1155,2009,2,60960
USGS,15565447,60,1155,2009,3,54000
USGS,15565447,60,1155,2009,4,49920
USGS,15565447,60,1155,2009,5,437200
USGS,15565447,60,1155,2009,6,658100
USGS,15565447,60,1155,2009,7,443200
USGS,15565447,60,1155,2009,8,276700
USGS,15565447,60,1155,2009,9,273600
USGS,15565447,60,1155,2009,10,230000
USGS,15565447,60,1155,2009,11,107900
USGS,15565447,60,1155,2009,12,77060
USGS,15565447,60,1155,2010,1,64180
USGS,15565447,60,1155,2010,2,54000
USGS,15565447,60,1155,2010,3,45320
USGS,15565447,60,1155,2010,4,43170
USGS,15565447,60,1155,2010,5,316000
USGS,15565447,60,1155,2010,6,334200
USGS,15565447,60,1155,2010,7,352500
USGS,15565447,60,1155,2010,8,442100
USGS,15565447,60,1155,2010,9,388000
USGS,15565447,60,1155,2010,10,189400
USGS,15565447,60,1155,2010,11,81770
USGS,15565447,60,1155,2010,12,64030
USGS,15565447,60,1155,2011,1,58210
USGS,15565447,60,1155,2011,2,53250
USGS,15565447,60,1155,2011,3,48770
USGS,15565447,60,1155,2011,4,48650
USGS,15565447,60,1155,2011,5,333400
USGS,15565447,60,1155,2011,6,542600
USGS,15565447,60,1155,2011,7,460700
USGS,15565447,60,1155,2011,8,459300
USGS,15565447,60,1155,2011,9,371100
USGS,15565447,60,1155,2011,10,248300
USGS,15565447,60,1155,2011,11,113100
USGS,15565447,60,1155,2011,12,73680
USGS,15565447,60,1155,2012,1,63650
USGS,15565447,60,1155,2012,2,55860
USGS,15565447,60,1155,2012,3,48710
USGS,15565447,60,1155,2012,4,48600
USGS,15565447,60,1155,2012,5,364600
USGS,15565447,60,1155,2012,6,623500
USGS,15565447,60,1155,2012,7,502300
USGS,15565447,60,1155,2012,8,403900
USGS,15565447,60,1155,2012,9,420400
USGS,15565447,60,1155,2012,10,360100
USGS,15565447,60,1155,2012,11,140800
USGS,15565447,60,1155,2012,12,78810
USGS,15565447,60,1155,2013,1,60740
USGS,15565447,60,1155,2013,2,54430
USGS,15565447,60,1155,2013,3,50810
USGS,15565447,60,1155,2013,4,48850
USGS,15565447,60,1155,2013,5,84260
USGS,15565447,60,1155,2013,6,711300
USGS,15565447,60,1155,2013,7,464000
USGS,15565447,60,1155,2013,8,356600
USGS,15565447,60,1155,2013,9,363300
USGS,15565447,60,1155,2013,10,332200
USGS,15565447,60,1155,2013,11,219800
USGS,15565447,60,1155,2013,12,112500
USGS,15565447,60,1155,2014,1,80480
USGS,15565447,60,1155,2014,2,65000
USGS,15565447,60,1155,2014,3,52610
USGS,15565447,60,1155,2014,4,47120
USGS,15565447,60,1155,2014,5,398600
USGS,15565447,60,1155,2014,6,479200
USGS,15565447,60,1155,2014,7,536000
USGS,15565447,60,1155,2014,8,467200
USGS,15565447,60,1155,2014,9,388400
USGS,15565447,60,1155,2014,10,275400
USGS,15565447,60,1155,2014,11,148700
USGS,15565447,60,1155,2014,12,90230
USGS,15565447,60,1155,2015,1,73770
USGS,15565447,60,1155,2015,2,63180
USGS,15565447,60,1155,2015,3,58350
USGS,15565447,60,1155,2015,4,55930
USGS,15565447,60,1155,2015,5,362100
USGS,15565447,60,1155,2015,6,488300
USGS,15565447,60,1155,2015,7,324600
USGS,15565447,60,1155,2015,8,334900
USGS,15565447,60,1155,2015,9,468800
USGS,15565447,60,1155,2015,10,380700
USGS,15565447,60,1155,2015,11,150400
USGS,15565447,60,1155,2015,12,93770
USGS,15565447,60,1155,2016,1,78700
USGS,15565447,60,1155,2016,2,70660
USGS,15565447,60,1155,2016,3,63060
USGS,15565447,60,1155,2016,4,62700
USGS,15565447,60,1155,2016,5,444600
USGS,15565447,60,1155,2016,6,463400
USGS,15565447,60,1155,2016,7,416600
USGS,15565447,60,1155,2016,8,546200
USGS,15565447,60,1155,2016,9,514100
USGS,15565447,60,1155,2016,10,343800
USGS,15565447,60,1155,2016,11,144200
USGS,15565447,60,1155,2016,12,93270
USGS,15565447,60,1155,2017,1,70600
USGS,15565447,60,1155,2017,2,59310
USGS,15565447,60,1155,2017,3,52490
USGS,15565447,60,1155,2017,4,47120
USGS,15565447,60,1155,2017,5,298300
USGS,15565447,60,1155,2017,6,422700
USGS,15565447,60,1155,2017,7,307600
USGS,15565447,60,1155,2017,8,367800
USGS,15565447,60,1155,2017,9,359800
USGS,15565447,60,1155,2017,10,332000
USGS,15565447,60,1155,2017,11,152400
USGS,15565447,60,1155,2017,12,98520
USGS,15565447,60,1155,2018,1,78870
USGS,15565447,60,1155,2018,2,65870
USGS,15565447,60,1155,2018,3,53260
USGS,15565447,60,1155,2018,4,52940
USGS,15565447,60,1155,2018,5,369200
USGS,15565447,60,1155,2018,6,602100
USGS,15565447,60,1155,2018,7,444000
USGS,15565447,60,1155,2018,8,362500
USGS,15565447,60,1155,2018,9,469200
USGS,15565447,60,1155,2018,10,308200
USGS,15565447,60,1155,2018,11,152300
USGS,15565447,60,1155,2018,12,101800
USGS,15565447,60,1155,2019,1,78570
USGS,15565447,60,1155,2019,2,65310
USGS,15565447,60,1155,2019,3,61580
USGS,15565447,60,1155,2019,4,79200
USGS,15565447,60,1155,2019,5,343000
USGS,15565447,60,1155,2019,6,568400
USGS,15565447,60,1155,2019,7,325000
USGS,15565447,60,1155,2019,8,370700
USGS,15565447,60,1155,2019,9,336200
USGS,15565447,60,1155,2019,10,275300
USGS,15565447,60,1155,2019,11,197200
USGS,15565447,60,1155,2019,12,118900
USGS,15565447,60,1155,2020,1,81300
USGS,15565447,60,1155,2020,2,62520
USGS,15565447,60,1155,2020,3,54710
USGS,15565447,60,1155,2020,4,65490
USGS,15565447,60,1155,2020,5,518600
USGS,15565447,60,1155,2020,6,630300
USGS,15565447,60,1155,2020,7,573200
USGS,15565447,60,1155,2020,8,469500
USGS,15565447,60,1155,2020,9,434400
USGS,15565447,60,1155,2020,10,312900
USGS,15565447,60,1155,2020,11,167200
USGS,15565447,60,1155,2020,12,134900
USGS,15565447,60,1155,2021,1,104100
USGS,15565447,60,1155,2021,2,71960
USGS,15565447,60,1155,2021,3,52610
USGS,15565447,60,1155,2021,4,54780
USGS,15565447,60,1155,2021,5,401300
USGS,15565447,60,1155,2021,6,539800
USGS,15565447,60,1155,2021,7,452900
USGS,15565447,60,1155,2021,8,401400
